                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.4693,                 2.4495,                 1.1394,                0.35021,                0.28423,                0.18428,                0.10797,                  1.428,                 1.5012,                 1.1076,             0.00020707,             0.00020707,             0.00020707
                      1,                 1.3594,                 1.4514,                 1.0857,                0.34958,                0.38344,                0.29647,                0.18792,                  1.383,                 1.2736,                 1.0853,             0.00041129,             0.00041129,             0.00041129
                      2,                 1.3336,                   1.31,                 1.0835,                0.39973,                0.41106,                0.30028,                0.18979,                 1.3844,                  1.288,                 1.0928,             0.00061139,             0.00061139,             0.00061139
                      3,                  1.292,                 1.2174,                 1.0645,                0.35583,                0.40794,                0.32842,                0.21723,                 1.3758,                 1.2896,                 1.0988,             0.00060644,             0.00060644,             0.00060644
                      4,                 1.2732,                 1.1244,                 1.0647,                0.32536,                0.44808,                0.32822,                0.21314,                 1.3458,                 1.2394,                 1.0861,             0.00060644,             0.00060644,             0.00060644
                      5,                 1.2559,                 1.0696,                 1.0579,                0.35621,                0.48856,                0.37126,                0.24393,                 1.3811,                 1.1896,                  1.089,             0.00060025,             0.00060025,             0.00060025
                      6,                 1.2339,                  1.009,                 1.0517,                0.34542,                0.50137,                0.35577,                0.23385,                 1.3549,                 1.1913,                 1.0908,             0.00059406,             0.00059406,             0.00059406
                      7,                 1.2211,                0.96415,                 1.0457,                0.39589,                0.47933,                0.36293,                0.24161,                  1.334,                 1.1793,                  1.089,             0.00058787,             0.00058787,             0.00058787
                      8,                 1.2185,                 0.9369,                 1.0486,                0.42361,                0.45983,                0.38323,                 0.2555,                 1.3322,                 1.1436,                 1.0845,             0.00058169,             0.00058169,             0.00058169
                      9,                 1.1942,                0.89516,                  1.036,                 0.4126,                0.51748,                0.38059,                0.25559,                 1.3202,                 1.1716,                 1.0818,              0.0005755,              0.0005755,              0.0005755
                     10,                 1.2076,                0.88404,                 1.0401,                0.44975,                0.47826,                0.38463,                0.25717,                 1.3593,                 1.1854,                 1.0853,             0.00056931,             0.00056931,             0.00056931
